fseq,score
147,0.91234261911118
146,0.9103604140372714
299,0.9090116379005286
217,0.9081175119175121
576,0.9071222362234065
39,0.9068954629737855
63,0.9048129902449483
526,0.9043007071267393
159,0.9030511155115749
83,0.9027777036705906
130,0.9027087159307285
124,0.9024396559174462
219,0.9016960844524129
230,0.9010899730706124
581,0.900749139616013
542,0.9005700230489384
606,0.9004309724379262
143,0.9003870116059598
615,0.9003846545059401
127,0.9002591077044516
418,0.9001010584948059
403,0.8995520627381112
284,0.898483623365268
223,0.8970075487437308
291,0.8956395774625423
201,0.8943205822293387
211,0.8941902891012369
62,0.8939721629447835
630,0.89340514657436
494,0.8932751159523317
358,0.8918541909590154
206,0.8908531269955414
257,0.890373634278551
536,0.8900589959389121
118,0.8895854196770703
335,0.8878833175182061
244,0.8873042870002901
195,0.8868131181380624
282,0.8865306020934122
298,0.8857814529029265
395,0.8856234530064309
192,0.8853012536715875
535,0.884675237936676
426,0.88454469272235
455,0.8844204097559356
185,0.8839710281378004
29,0.8836508776045258
135,0.8830302608758
11,0.8829693113414834
155,0.882945847779607
622,0.8823150055279618
566,0.8815187739407139
222,0.8813197741533195
644,0.8807364358093283
94,0.879736498982197
544,0.8788153081988385
194,0.8786602040435036
163,0.8785551707022846
614,0.8763464820016541
42,0.875565670677587
480,0.8753484283368155
181,0.8751717948922956
362,0.875101907978377
7,0.8749298246070889
648,0.8746162338662977
232,0.8745827376346978
249,0.8745578951548255
493,0.8745022013091518
177,0.8744629471442692
234,0.8737147452956983
14,0.8717311722904137
549,0.8713712560192106
96,0.8694741411645055
613,0.8690889744785226
86,0.8678479849345778
212,0.865395278590867
203,0.8634304099433828
390,0.8627463366224394
547,0.8615636054730278
546,0.8607401683162882
33,0.8607131379679541
243,0.8606829399417895
440,0.8603136413959513
67,0.8600344477149413
328,0.8567670952879213
76,0.8549990481878766
652,0.8541961384205354
394,0.8533173310349655
431,0.8532523540781577
467,0.8515329512041897
562,0.8506949798960538
4,0.8490936574132473
635,0.8468758956274722
654,0.8439190707522968
471,0.8417157055849005
360,0.8395933911810383
524,0.8376838572837217
436,0.8350024841152651
263,0.8198138951054701
245,0.8170537848610036
