fseq
466
59
583
200
556
47
504
612
293
505
1
343
528
35
570
19
39
430
540
124
101
348
438
539
639
360
560
378
400
12
119
467
614
495
31
194
267
105
416
568
277
535
559
198
34
322
409
71
564
179
51
299
439
327
463
605
95
342
107
383
84
172
579
132
78
181
257
87
397
494
341
166
329
637
384
202
598
653
21
413
619
86
254
169
135
162
446
353
394
608
42
260
232
610
644
128
26
244
362
627
70
481
14
480
488
414
408
281
389
592
60
269
543
557
571
229
354
420
103
251
296
294
187
143
295
74
154
392
38
77
249
9
96
634
170
275
536
622
168
123
133
10
499
160
174
449
287
16
417
515
231
513
582
177
364
524
351
326
190
377
91
542
117
547
302
108
36
163
382
471
415
89
4
390
20
508
141
195
207
482
55
90
334
213
497
648
596
600
561
565
248
45
259
435
395
391
533
520
155
572
274
549
53
52
548
66
13
57
205
230
455
647
56
234
457
527
387
272
486
255
595
460
629
429
516
442
518
546
339
636
37
109
422
98
72
220
475
331
145
286
288
525
32
590
282
345
350
424
153
437
472
247
114
470
193
184
407
264
615
443
593
597
122
496
512
502
625
303
268
266
82
402
609
301
476
427
630
544
555
530
602
554
278
237
115
425
149
139
127
616
584
553
558
112
113
396
534
219
62
243
289
618
261
111
217
156
214
465
48
311
5
262
626
490
484
93
434
27
492
196
116
398
368
510
365
320
654
386
321
324
552
507
459
563
651
551
532
332
617
461
599
11
85
340
142
473
79
379
359
100
185
292
29
399
314
361
338
46
323
479
621
638
642
161
83
451
447
238
631
147
236
97
410
606
80
64
635
312
276
61
328
65
245
469
188
110
316
233
75
575
18
33
211
283
25
585
8
167
106
335
290
120
76
628
58
173
652
63
501
498
500
125
304
73
529
121
228
333
478
2
22
581
526
182
632
531
369
538
577
576
655
375
537
271
17
613
426
370
388
258
246
235
419
358
357
487
450
456
474
227
509
347
428
151
603
418
319
7
137
68
146
216
104
50
591
69
620
28
150
432
550
265
212
511
6
176
23
431
250
356
164
284
140
346
623
30
305
658
118
477
523
580
448
522
325
412
485
444
144
180
221
589
641
521
318
373
126
54
157
225
186
541
468
178
309
222
573
215
204
366
604
493
371
241
633
197
650
458
436
344
253
131
517
285
307
594
223
209
441
421
239
423
401
208
567
489
88
406
640
92
491
41
403
545
393
67
148
129
44
40
588
210
226
306
381
367
152
102
562
440
376
566
310
203
330
252
158
624
263
43
363
454
503
3
183
611
201
405
404
506
649
224
81
134
15
313
300
464
519
569
159
218
372
308
242
380
355
445
94
601
574
317
586
483
192
138
199
24
587
175
49
280
646
337
130
291
297
385
514
643
336
99
433
352
270
452
189
645
298
256
136
657
374
607
240
206
315
279
165
411
273
462
191
578
171
453
349
656
